warehouse,date,total_orders
EW1,2021-08-10,455
EW1,2021-08-11,553
EW1,2021-08-12,569
EW1,2021-08-13,426
EW1,2021-08-14,536
EW1,2021-08-15,628
EW1,2021-08-16,18
EW1,2021-08-17,852
EW1,2021-08-19,4
EW1,2021-08-20,713
EW1,2021-08-21,675
EW1,2021-08-22,798
EW1,2021-08-23,544
EW1,2021-08-24,666
EW1,2021-08-25,687
EW1,2021-08-26,667
EW1,2021-08-27,650
EW1,2021-08-28,939
EW1,2021-08-29,603
EW1,2021-08-30,720
EW1,2021-08-31,727
EW1,2021-09-01,664
EW1,2021-09-02,1148
EW1,2021-09-03,984
EW1,2021-09-04,1346
EW1,2021-09-05,1448
EW1,2021-09-06,1379
EW1,2021-09-07,1196
EW1,2021-09-08,515
EW1,2021-09-09,1006
EW1,2021-09-10,420
EW1,2021-09-11,389
EW1,2021-09-12,363
EW1,2021-09-13,418
EW1,2021-09-14,365
EW1,2021-09-15,205
EW1,2021-09-16,238
EW1,2021-09-17,217
EW1,2021-09-18,161
EW1,2021-09-19,224
EW1,2021-09-20,199
EW1,2021-09-21,230
EW1,2021-09-22,140
EW1,2021-09-23,205
EW1,2021-09-24,159
EW1,2021-09-25,151
EW1,2021-09-26,212
EW1,2021-09-27,184
EW1,2021-09-28,17
EW1,2021-09-29,293
EW1,2021-09-30,540
EW1,2021-10-01,257
EW1,2021-10-02,309
EW1,2021-10-03,236
EW1,2021-10-04,389
EW1,2021-10-05,314
EW1,2021-10-06,369
EW1,2021-10-07,419
EW1,2021-10-08,390
EW1,2021-10-09,426
EW1,2021-10-10,470
EW1,2021-10-11,489
EW1,2021-10-12,472
EW1,2021-10-13,409
EW1,2021-10-14,383
EW1,2021-10-15,369
EW1,2021-10-16,579
EW1,2021-10-17,537
EW1,2021-10-18,445
EW1,2021-10-19,288
EW1,2021-10-20,379
EW1,2021-10-21,382
EW1,2021-10-22,543
EW1,2021-10-23,499
EW1,2021-10-24,507
EW1,2021-10-25,433
EW1,2021-10-26,565
EW1,2021-10-27,506
EW1,2021-10-28,382
EW1,2021-10-29,461
EW1,2021-10-30,437
EW1,2021-10-31,494
EW1,2021-11-01,441
EW1,2021-11-02,398
EW1,2021-11-03,391
EW1,2021-11-04,386
EW1,2021-11-05,375
EW1,2021-11-06,441
EW1,2021-11-07,421
EW1,2021-11-08,526
EW2,2021-09-15,186
EW2,2021-09-16,199
EW2,2021-09-17,326
EW2,2021-09-18,390
EW2,2021-09-19,353
EW2,2021-09-20,359
EW2,2021-09-21,393
EW2,2021-09-22,395
EW2,2021-09-23,295
EW2,2021-09-24,212
EW2,2021-09-25,324
EW2,2021-09-26,540
EW2,2021-09-27,698
EW2,2021-09-28,23
EW2,2021-09-29,744
EW2,2021-09-30,672
EW2,2021-10-01,358
EW2,2021-10-02,613
EW2,2021-10-03,688
EW2,2021-10-04,757
EW2,2021-10-05,767
EW2,2021-10-06,946
EW2,2021-10-07,1139
EW2,2021-10-08,855
EW2,2021-10-09,897
EW2,2021-10-10,878
EW2,2021-10-11,1157
EW2,2021-10-12,1231
EW2,2021-10-13,1052
EW2,2021-10-14,1241
EW2,2021-10-15,987
EW2,2021-10-16,1364
EW2,2021-10-17,1195
EW2,2021-10-18,1422
EW2,2021-10-19,539
EW2,2021-10-20,1211
EW2,2021-10-21,1197
EW2,2021-10-22,1531
EW2,2021-10-23,1446
EW2,2021-10-24,1119
EW2,2021-10-25,1333
EW2,2021-10-26,1502
EW2,2021-10-27,1513
EW2,2021-10-28,1572
EW2,2021-10-29,1010
EW2,2021-10-30,1451
EW2,2021-10-31,1543
EW2,2021-11-01,1423
EW2,2021-11-02,1728
EW2,2021-11-03,1414
EW2,2021-11-04,1490
EW2,2021-11-05,1067
EW2,2021-11-06,1591
EW2,2021-11-07,1696
EW2,2021-11-08,1537
